Date,Severity,Crashes
5/12/2009,Property Damage Only,96
5/12/2009,Minor Injury,6
5/12/2009,Major Injury,7
5/12/2009,Possible/Unknown,30
5/13/2009,Property Damage Only,99
5/13/2009,Minor Injury,18
5/13/2009,Major Injury,2
5/13/2009,Possible/Unknown,30
5/14/2009,Property Damage Only,96
5/14/2009,Minor Injury,18
5/14/2009,Major Injury,4
5/14/2009,Fatal,1
5/14/2009,Possible/Unknown,27
5/15/2009,Property Damage Only,151
5/15/2009,Minor Injury,14
5/15/2009,Major Injury,8
5/15/2009,Possible/Unknown,22
5/16/2009,Property Damage Only,91
5/16/2009,Minor Injury,16
5/16/2009,Major Injury,3
5/16/2009,Fatal,1
5/16/2009,Possible/Unknown,24
5/17/2009,Property Damage Only,75
5/17/2009,Minor Injury,13
5/17/2009,Major Injury,2
5/17/2009,Fatal,1
5/17/2009,Possible/Unknown,21
5/18/2009,Property Damage Only,81
5/18/2009,Minor Injury,14
5/18/2009,Major Injury,2
5/18/2009,Fatal,2
5/18/2009,Possible/Unknown,15
5/19/2009,Property Damage Only,92
5/19/2009,Minor Injury,16
5/19/2009,Major Injury,6
5/19/2009,Possible/Unknown,24
5/20/2009,Property Damage Only,104
5/20/2009,Minor Injury,13
5/20/2009,Major Injury,2
5/20/2009,Fatal,2
5/20/2009,Possible/Unknown,25
5/21/2009,Property Damage Only,138
5/21/2009,Minor Injury,12
5/21/2009,Major Injury,2
5/21/2009,Fatal,2
5/21/2009,Possible/Unknown,22
5/22/2009,Property Damage Only,136
5/22/2009,Minor Injury,19
5/22/2009,Major Injury,5
5/22/2009,Fatal,2
5/22/2009,Possible/Unknown,30
5/23/2009,Property Damage Only,102
5/23/2009,Minor Injury,18
5/23/2009,Major Injury,5
5/23/2009,Fatal,5
5/23/2009,Possible/Unknown,19
5/24/2009,Property Damage Only,76
5/24/2009,Minor Injury,14
5/24/2009,Major Injury,3
5/24/2009,Fatal,2
5/24/2009,Possible/Unknown,12
5/25/2009,Property Damage Only,71
5/25/2009,Minor Injury,9
5/25/2009,Major Injury,4
5/25/2009,Possible/Unknown,23
5/26/2009,Property Damage Only,116
5/26/2009,Minor Injury,15
5/26/2009,Major Injury,5
5/26/2009,Fatal,1
5/26/2009,Possible/Unknown,40
5/27/2009,Property Damage Only,82
5/27/2009,Minor Injury,12
5/27/2009,Major Injury,2
5/27/2009,Possible/Unknown,20
5/28/2009,Property Damage Only,104
5/28/2009,Minor Injury,15
5/28/2009,Major Injury,4
5/28/2009,Fatal,4
5/28/2009,Possible/Unknown,18
5/29/2009,Property Damage Only,129
5/29/2009,Minor Injury,12
5/29/2009,Major Injury,3
5/29/2009,Fatal,1
5/29/2009,Possible/Unknown,20
5/30/2009,Property Damage Only,102
5/30/2009,Minor Injury,20
5/30/2009,Major Injury,4
5/30/2009,Possible/Unknown,20
5/31/2009,Property Damage Only,67
5/31/2009,Minor Injury,19
5/31/2009,Major Injury,4
5/31/2009,Fatal,2
5/31/2009,Possible/Unknown,11
6/1/2009,Property Damage Only,101
6/1/2009,Minor Injury,11
6/1/2009,Major Injury,4
6/1/2009,Possible/Unknown,18
6/2/2009,Property Damage Only,90
6/2/2009,Minor Injury,12
6/2/2009,Major Injury,2
6/2/2009,Possible/Unknown,16
6/3/2009,Property Damage Only,117
6/3/2009,Minor Injury,14
6/3/2009,Major Injury,4
6/3/2009,Fatal,1
6/3/2009,Possible/Unknown,20
6/4/2009,Property Damage Only,108
6/4/2009,Minor Injury,15
6/4/2009,Major Injury,1
6/4/2009,Fatal,1
6/4/2009,Possible/Unknown,31
6/5/2009,Property Damage Only,123
6/5/2009,Minor Injury,12
6/5/2009,Major Injury,8
6/5/2009,Possible/Unknown,27
6/6/2009,Property Damage Only,85
6/6/2009,Minor Injury,17
6/6/2009,Major Injury,3
6/6/2009,Fatal,1
6/6/2009,Possible/Unknown,20
6/7/2009,Property Damage Only,66
6/7/2009,Minor Injury,9
6/7/2009,Major Injury,2
6/7/2009,Fatal,1
