Date of Crash,Crash Severity,Crashes
05/08/2009,Property Damage Only,130
05/08/2009,Possible/Unknown,29
05/09/2009,Minor Injury,18
05/09/2009,Major Injury,2
05/09/2009,Possible/Unknown,23
05/09/2009,Property Damage Only,101
05/10/2009,Minor Injury,4
05/10/2009,Possible/Unknown,13
05/10/2009,Property Damage Only,79
05/10/2009,Major Injury,4
05/11/2009,Minor Injury,21
05/11/2009,Major Injury,3
05/11/2009,Possible/Unknown,27
05/11/2009,Fatal,5
05/11/2009,Property Damage Only,98
05/12/2009,Major Injury,7
05/12/2009,Property Damage Only,96
05/12/2009,Minor Injury,6
05/12/2009,Possible/Unknown,30
05/13/2009,Major Injury,2
05/13/2009,Minor Injury,18
05/13/2009,Property Damage Only,99
05/13/2009,Possible/Unknown,30
05/14/2009,Property Damage Only,96
05/14/2009,Fatal,1
05/14/2009,Possible/Unknown,27
05/14/2009,Minor Injury,18
05/14/2009,Major Injury,4
05/15/2009,Major Injury,8
05/15/2009,Property Damage Only,151
05/15/2009,Minor Injury,14
05/15/2009,Possible/Unknown,22
05/16/2009,Property Damage Only,91
05/16/2009,Possible/Unknown,24
05/16/2009,Major Injury,3
05/16/2009,Minor Injury,16
05/16/2009,Fatal,1
05/17/2009,Major Injury,2
05/17/2009,Possible/Unknown,21
05/17/2009,Fatal,1
05/17/2009,Minor Injury,13
05/17/2009,Property Damage Only,75
05/18/2009,Possible/Unknown,15
05/18/2009,Fatal,2
05/18/2009,Property Damage Only,81
05/18/2009,Major Injury,2
05/18/2009,Minor Injury,14
05/19/2009,Minor Injury,16
05/19/2009,Possible/Unknown,24
05/19/2009,Property Damage Only,92
05/19/2009,Major Injury,6
05/20/2009,Possible/Unknown,25
05/20/2009,Minor Injury,13
05/20/2009,Major Injury,2
05/20/2009,Fatal,2
05/20/2009,Property Damage Only,104
05/21/2009,Major Injury,2
05/21/2009,Fatal,2
05/21/2009,Possible/Unknown,22
05/21/2009,Property Damage Only,138
05/21/2009,Minor Injury,12
05/22/2009,Property Damage Only,136
05/22/2009,Major Injury,5
05/22/2009,Minor Injury,19
05/22/2009,Possible/Unknown,30
05/22/2009,Fatal,2
05/23/2009,Possible/Unknown,19
05/23/2009,Minor Injury,18
05/23/2009,Fatal,5
05/23/2009,Major Injury,5
05/23/2009,Property Damage Only,102
05/24/2009,Possible/Unknown,12
05/24/2009,Major Injury,3
05/24/2009,Minor Injury,14
05/24/2009,Fatal,2
05/24/2009,Property Damage Only,76
05/25/2009,Major Injury,4
05/25/2009,Property Damage Only,71
05/25/2009,Minor Injury,9
05/25/2009,Possible/Unknown,23
05/26/2009,Minor Injury,15
05/26/2009,Fatal,1
05/26/2009,Major Injury,5
05/26/2009,Property Damage Only,116
05/26/2009,Possible/Unknown,40
05/27/2009,Minor Injury,12
05/27/2009,Major Injury,2
05/27/2009,Possible/Unknown,20
05/27/2009,Property Damage Only,82
05/28/2009,Minor Injury,15
05/28/2009,Possible/Unknown,18
05/28/2009,Property Damage Only,104
05/28/2009,Major Injury,4
05/28/2009,Fatal,4
05/29/2009,Fatal,1
05/29/2009,Property Damage Only,129
05/29/2009,Possible/Unknown,20
05/29/2009,Minor Injury,12
05/29/2009,Major Injury,3
05/30/2009,Possible/Unknown,20
05/30/2009,Property Damage Only,102
05/30/2009,Minor Injury,20
05/30/2009,Major Injury,4
05/31/2009,Possible/Unknown,11
05/31/2009,Property Damage Only,67
05/31/2009,Fatal,2
05/31/2009,Minor Injury,19
05/31/2009,Major Injury,4
06/01/2009,Property Damage Only,101
06/01/2009,Possible/Unknown,18
06/01/2009,Major Injury,4
06/01/2009,Minor Injury,11
06/02/2009,Property Damage Only,90
06/02/2009,Major Injury,2
06/02/2009,Possible/Unknown,16
06/02/2009,Minor Injury,12
06/03/2009,Possible/Unknown,20
06/03/2009,Fatal,1
06/03/2009,Major Injury,4
06/03/2009,Minor Injury,14
06/03/2009,Property Damage Only,117
06/04/2009,Property Damage Only,108
06/04/2009,Fatal,1
06/04/2009,Minor Injury,15
06/04/2009,Major Injury,1
06/04/2009,Possible/Unknown,31
06/05/2009,Property Damage Only,123
06/05/2009,Minor Injury,12
06/05/2009,Possible/Unknown,27
06/05/2009,Major Injury,8
06/06/2009,Property Damage Only,85
06/06/2009,Minor Injury,17
06/06/2009,Possible/Unknown,20
06/06/2009,Fatal,1
06/06/2009,Major Injury,3
06/07/2009,Fatal,1
06/07/2009,Property Damage Only,66
06/07/2009,Possible/Unknown,14
06/07/2009,Major Injury,2
06/07/2009,Minor Injury,9
06/08/2009,Minor Injury,9
06/08/2009,Possible/Unknown,18
06/08/2009,Major Injury,2
06/08/2009,Property Damage Only,92
06/09/2009,Property Damage Only,98
06/09/2009,Possible/Unknown,17
06/09/2009,Fatal,1
06/09/2009,Minor Injury,9
06/09/2009,Major Injury,2
06/10/2009,Possible/Unknown,15
06/10/2009,Major Injury,2
06/10/2009,Minor Injury,17
06/10/2009,Property Damage Only,78
06/11/2009,Property Damage Only,105
06/11/2009,Possible/Unknown,19
06/11/2009,Minor Injury,13
06/11/2009,Major Injury,2
06/12/2009,Major Injury,5
06/12/2009,Property Damage Only,145
06/12/2009,Minor Injury,16
06/12/2009,Fatal,2
